,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
12,Riccardo Calafiori,it ITA,DF,22-308,,11,925.0,10.3,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,0.3,1.1,21.0,54.0,29.0,0.19,0.1,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11
13,Myles Lewis-Skelly,eng ENG,DF,18-178,,9,766.0,8.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.2,0.2,15.0,37.0,19.0,0.12,0.0,0.12,0.12,0.12,0.0,0.02,0.03,0.0,0.03
14,Ben White,eng ENG,DF,27-166,,7,706.0,7.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.6,5.0,32.0,18.0,0.0,0.13,0.13,0.0,0.13,0.02,0.06,0.08,0.02,0.08
15,Ethan Nwaneri,eng ENG,"FW,MF",18-002,,7,606.0,6.7,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.8,0.8,0.8,1.6,35.0,24.0,84.0,0.45,0.15,0.59,0.45,0.59,0.12,0.12,0.24,0.12,0.24
16,Jorginho,it ITA,MF,33-093,,7,543.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.4,0.5,9.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08
17,Gabriel Jesus,br BRA,FW,27-354,,6,608.0,6.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,0.7,3.7,15.0,19.0,57.0,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54
18,Raheem Sterling,eng ENG,"FW,MF",30-105,,4,310.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,1.3,18.0,14.0,57.0,0.0,0.29,0.29,0.0,0.29,0.3,0.08,0.38,0.3,0.38
19,Jakub Kiwior,pl POL,DF,25-036,,2,327.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
20,Oleksandr Zinchenko,ua UKR,"DF,MF",28-098,,2,299.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,7.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05
21,Kieran Tierney,sct SCO,"DF,FW",27-291,,0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.23,0.54,0.77,0.23,0.77
