,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
17,Matt O'Riley,dk DEN,MF,24-122,,5,475.0,5.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.2,2.4,9.0,22.0,25.0,0.19,0.19,0.38,0.19,0.38,0.23,0.22,0.45,0.23,0.45
18,Brajan Gruda,de GER,"FW,MF",20-296,,5,387.0,4.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.9,14.0,14.0,41.0,0.0,0.23,0.23,0.0,0.23,0.07,0.15,0.22,0.07,0.22
19,Ferdi Kadioglu,tr TUR,"DF,MF",25-167,,5,385.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,1.0,15.0,27.0,0.23,0.0,0.23,0.23,0.23,0.1,0.04,0.14,0.1,0.14
20,Mats Wieffer,nl NED,MF,25-127,,4,494.0,5.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.6,1.1,5.0,37.0,9.0,0.18,0.18,0.36,0.18,0.36,0.08,0.11,0.19,0.08,0.19
21,James Milner,eng ENG,MF,39-078,,3,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21
22,Julio Enciso,py PAR,"MF,FW",21-059,,2,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.2,11.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.31,0.07,0.38,0.31,0.38
23,Diego Gómez,py PAR,MF,21-361,,2,254.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,5.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.11,0.14,0.25,0.11,0.25
24,Evan Ferguson,ie IRL,FW,20-155,,2,246.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,1.0,2.0,1.0,9.0,0.37,0.0,0.37,0.37,0.37,0.2,0.15,0.35,0.2,0.35
25,Jason Steele,eng ENG,GK,34-217,,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Billy Gilmour,sct SCO,MF,23-285,,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
27,Solly March,eng ENG,"MF,FW",30-246,,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15
28,Jakub Moder,pl POL,MF,25-350,,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.45,0.0,1.45
29,Jeremy Sarmiento,ec ECU,MF,22-280,,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Valentín Barco,ar ARG,DF,20-243,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Killian Cahill,ie IRL,GK,21-140,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Eiran Cashin,ie IRL,DF,23-134,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Joe Knight,eng ENG,MF,19-183,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ruairi Mcconville,nir NIR,DF,19-326,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Mark O'Mahony,ie IRL,FW,20-068,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Carl Rushworth,eng ENG,GK,23-264,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Imari Samuels,eng ENG,DF,22-046,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Jacob Slater,eng ENG,DF,20-169,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Squad Total,,,25.6,,319,2610.0,29.0,46.0,30.0,76.0,43.0,3.0,3.0,62.0,1.0,43.6,41.3,30.8,72.1,619.0,1162.0,1149.0,1.59,1.03,2.62,1.48,2.52,1.5,1.06,2.57,1.42,2.48
40,Opponent Total,,,26.8,,319,2610.0,29.0,40.0,25.0,65.0,33.0,7.0,7.0,72.0,3.0,41.0,35.6,30.9,66.4,459.0,939.0,928.0,1.38,0.86,2.24,1.14,2.0,1.42,1.06,2.48,1.23,2.29
0,Bernd Leno,de GER,GK,33-019,29.0,29,2610.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0
1,Antonee Robinson,us USA,DF,27-227,29.0,28,2539.0,28.2,0.0,10.0,10.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,3.8,4.5,98.0,104.0,232.0,0.0,0.35,0.35,0.0,0.35,0.02,0.13,0.16,0.02,0.16
2,Alex Iwobi,ng NGA,"FW,MF",28-324,29.0,28,2358.0,26.2,7.0,4.0,11.0,7.0,0.0,0.0,1.0,0.0,3.9,3.9,5.7,9.6,112.0,168.0,199.0,0.27,0.15,0.42,0.27,0.42,0.15,0.22,0.36,0.15,0.36
3,Calvin Bassey,ng NGA,DF,25-082,28.0,27,2444.0,27.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.1,1.1,22.0,89.0,11.0,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04
4,Raúl Jiménez,mx MEX,FW,33-322,29.0,23,1836.0,20.4,10.0,3.0,13.0,7.0,3.0,3.0,3.0,0.0,10.3,7.9,2.8,10.7,29.0,45.0,103.0,0.49,0.15,0.64,0.34,0.49,0.51,0.13,0.64,0.39,0.52
5,Emile Smith Rowe,eng ENG,MF,24-238,26.0,22,1724.0,19.2,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,4.1,4.1,1.1,5.2,50.0,110.0,104.0,0.26,0.1,0.37,0.26,0.37,0.21,0.06,0.27,0.21,0.27
6,Saša Lukić,rs SRB,MF,28-222,22.0,21,1738.0,19.3,0.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.8,0.8,2.6,3.4,30.0,73.0,22.0,0.0,0.1,0.1,0.0,0.1,0.04,0.13,0.17,0.04,0.17
7,Joachim Andersen,dk DEN,DF,28-296,20.0,20,1773.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.4,0.4,0.3,0.8,11.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
8,Andreas Pereira,br BRA,MF,29-081,26.0,19,1577.0,17.5,2.0,4.0,6.0,2.0,0.0,1.0,7.0,0.0,3.3,2.5,3.7,6.2,21.0,93.0,66.0,0.11,0.23,0.34,0.11,0.34,0.19,0.21,0.4,0.14,0.35
9,Sander Berge,no NOR,MF,27-037,22.0,18,1644.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.6,0.7,16.0,87.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
10,Adama Traoré,es ESP,"FW,MF",29-057,27.0,15,1407.0,15.6,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,3.7,3.7,4.1,7.8,79.0,54.0,134.0,0.13,0.32,0.45,0.13,0.45,0.24,0.26,0.5,0.24,0.5
11,Kenny Tete,nl NED,DF,29-165,15.0,15,1262.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.7,1.8,33.0,42.0,39.0,0.0,0.14,0.14,0.0,0.14,0.07,0.05,0.13,0.07,0.13
12,Timothy Castagne,be BEL,DF,29-108,19.0,14,1342.0,14.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.2,1.6,16.0,56.0,60.0,0.0,0.07,0.07,0.0,0.07,0.03,0.08,0.11,0.03,0.11
13,Issa Diop,fr FRA,DF,28-073,20.0,14,1263.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,6.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
14,Harry Wilson,wls WAL,"FW,MF",28-001,19.0,8,839.0,9.3,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,3.2,3.2,1.0,4.2,16.0,42.0,71.0,0.54,0.11,0.64,0.54,0.64,0.35,0.11,0.45,0.35,0.45
15,Rodrigo Muniz,br BRA,FW,23-323,28.0,6,819.0,9.1,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,4.7,4.7,0.7,5.4,4.0,23.0,29.0,0.66,0.11,0.77,0.66,0.77,0.52,0.08,0.6,0.52,0.6
16,Reiss Nelson,eng ENG,FW,25-103,11.0,5,487.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.1,45.0,35.0,63.0,0.18,0.18,0.37,0.18,0.37,0.2,0.18,0.39,0.2,0.39
17,Tom Cairney,sct SCO,MF,34-062,19.0,2,438.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.1,0.1,0.7,0.9,13.0,45.0,21.0,0.21,0.0,0.21,0.21,0.21,0.03,0.14,0.17,0.03,0.17
18,Jorge Cuenca,es ESP,DF,25-126,5.0,2,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Willian,br BRA,"FW,MF",36-226,5.0,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,5.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.09,0.16,0.24,0.09,0.24
20,Ryan Sessegnon,eng ENG,"DF,MF",24-309,7.0,1,96.0,1.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,3.0,2.0,7.0,1.87,0.0,1.87,1.87,1.87,0.51,0.35,0.86,0.51,0.86
21,Joshua King,eng ENG,"MF,FW",18-079,5.0,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.22,0.48,0.7,0.22,0.7
22,Harrison Reed,eng ENG,MF,30-055,10.0,0,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.17,0.09,0.25,0.17,0.25
23,Martial Godo,eng ENG,FW,22-009,1.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Carlos Vinícius,br BRA,MF,29-363,1.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.83,0.83
25,Jay Stansfield,eng ENG,MF,22-119,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Samuel Amissah,eng ENG,DF,18-016,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Steven Benda,de GER,GK,26-173,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Squad Total,,,28.7,29.0,319,2610.0,29.0,42.0,37.0,79.0,39.0,3.0,4.0,61.0,2.0,39.8,36.6,30.9,67.5,612.0,1215.0,1204.0,1.45,1.28,2.72,1.34,2.62,1.37,1.06,2.44,1.26,2.33
29,Opponent Total,,,27.0,29.0,319,2610.0,29.0,36.0,29.0,65.0,34.0,2.0,2.0,55.0,3.0,33.0,31.5,24.7,56.2,461.0,1038.0,1027.0,1.24,1.0,2.24,1.17,2.17,1.14,0.85,1.99,1.08,1.94
0,Youri Tielemans,be BEL,MF,27-320,29.0,29,2491.0,27.7,2.0,4.0,6.0,2.0,0.0,1.0,4.0,0.0,2.6,1.8,5.7,7.5,30.0,187.0,35.0,0.07,0.14,0.22,0.07,0.22,0.09,0.21,0.3,0.07,0.27
1,Emiliano Martínez,ar ARG,GK,32-202,28.0,28,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Morgan Rogers,eng ENG,"MF,FW",22-240,28.0,28,2336.0,26.0,7.0,4.0,11.0,7.0,0.0,0.0,8.0,0.0,4.8,4.8,5.2,10.1,91.0,94.0,137.0,0.27,0.15,0.42,0.27,0.42,0.19,0.2,0.39,0.19,0.39
3,Ezri Konsa,eng ENG,DF,27-151,25.0,25,2171.0,24.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.8,16.0,59.0,11.0,0.04,0.0,0.04,0.04,0.04,0.03,0.01,0.03,0.03,0.03
4,Lucas Digne,fr FRA,DF,31-246,28.0,25,2061.0,22.9,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,4.0,4.8,21.0,51.0,132.0,0.0,0.17,0.17,0.0,0.17,0.03,0.17,0.21,0.03,0.21
5,Ollie Watkins,eng ENG,FW,29-083,29.0,25,2055.0,22.8,13.0,6.0,19.0,11.0,2.0,2.0,0.0,0.0,13.9,12.3,2.7,14.9,44.0,22.0,128.0,0.57,0.26,0.83,0.48,0.74,0.61,0.12,0.72,0.54,0.65
6,John McGinn,sct SCO,"MF,FW",30-156,25.0,22,1777.0,19.7,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,2.7,4.7,26.0,83.0,64.0,0.0,0.15,0.15,0.0,0.15,0.1,0.13,0.24,0.1,0.24
7,Pau Torres,es ESP,DF,28-066,18.0,18,1549.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,31.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
8,Matty Cash,pl POL,"DF,FW",27-228,19.0,16,1396.0,15.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.2,0.2,1.0,1.3,38.0,31.0,50.0,0.06,0.06,0.13,0.06,0.13,0.02,0.07,0.08,0.02,0.08
9,Jacob Ramsey,eng ENG,"FW,MF",23-299,21.0,15,1248.0,13.9,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,1.8,3.1,49.0,58.0,84.0,0.07,0.22,0.29,0.07,0.29,0.09,0.13,0.22,0.09,0.22
10,Leon Bailey,jm JAM,"FW,MF",27-226,23.0,14,1138.0,12.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,1.5,3.3,57.0,35.0,121.0,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26
11,Amadou Onana,be BEL,MF,23-219,17.0,14,1079.0,12.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.8,1.8,0.2,2.0,13.0,36.0,10.0,0.17,0.0,0.17,0.17,0.17,0.15,0.02,0.17,0.15,0.17
12,Boubacar Kamara,fr FRA,MF,25-120,17.0,13,1081.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.5,11.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
13,Diego Carlos,br BRA,DF,32-008,10.0,8,830.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
14,Tyrone Mings,eng ENG,DF,32-010,10.0,8,781.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.8,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09
15,Lamare Bogarde,nl NED,"DF,MF",21-077,8.0,5,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.2,12.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
16,Jáder Durán,co COL,FW,21-100,20.0,4,638.0,7.1,7.0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,4.9,4.9,0.2,5.1,7.0,13.0,44.0,0.99,0.0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71
17,Ian Maatsen,nl NED,DF,23-013,22.0,4,617.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.6,1.8,19.0,33.0,61.0,0.0,0.15,0.15,0.0,0.15,0.04,0.23,0.27,0.04,0.27
18,Axel Disasi,fr FRA,DF,27-012,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.4,8.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11
19,Andrés García,es ESP,"DF,MF",22-044,5.0,4,267.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,22.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
20,Ross Barkley,eng ENG,MF,31-108,16.0,3,554.0,6.2,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1.7,1.7,0.6,2.3,14.0,32.0,8.0,0.49,0.16,0.65,0.49,0.65,0.27,0.09,0.37,0.27,0.37
21,Jaden Philogene Bidace,eng ENG,"FW,MF",23-043,11.0,2,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.5,0.5,0.3,0.8,7.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2
22,Marco Asensio,es ESP,"MF,FW",29-061,4.0,2,207.0,2.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.4,1.4,0.2,1.6,10.0,16.0,7.0,0.87,0.0,0.87,0.87,0.87,0.62,0.09,0.71,0.62,0.71
23,Marcus Rashford,eng ENG,FW,27-143,5.0,1,202.0,2.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.9,2.1,13.0,10.0,32.0,0.0,0.89,0.89,0.0,0.89,0.12,0.83,0.95,0.12,0.95
24,Robin Olsen,se SWE,GK,35-074,3.0,1,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Donyell Malen,nl NED,FW,26-073,6.0,1,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,5.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.3,0.02,0.32,0.3,0.32
26,Kosta Nedeljković,rs SRB,DF,19-097,5.0,0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Emi Buendía,ar ARG,"MF,FW",28-088,12.0,0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62
28,Benjamin Broggio,eng ENG,FW,18-053,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Joe Gauci,au AUS,GK,24-262,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Jamaldeen Jimoh,eng ENG,MF,18-172,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sil Swinkels,nl NED,DF,21-076,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Kadan Young,eng ENG,MF,19-063,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Oliwier Zych,pl POL,GK,20-268,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Squad Total,,,27.7,29.0,319,2610.0,29.0,40.0,31.0,71.0,38.0,2.0,3.0,58.0,2.0,41.2,38.8,30.4,69.2,554.0,1010.0,1001.0,1.38,1.07,2.45,1.31,2.38,1.42,1.05,2.47,1.34,2.39
35,Opponent Total,,,27.1,29.0,319,2610.0,29.0,45.0,32.0,77.0,44.0,1.0,2.0,78.0,2.0,40.0,38.5,29.2,67.7,501.0,965.0,947.0,1.55,1.1,2.66,1.52,2.62,1.38,1.01,2.39,1.33,2.33
0,Milos Kerkez,hu HUN,DF,21-136,29.0,29,2537.0,28.2,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,0.5,0.4,3.2,3.6,74.0,121.0,141.0,0.07,0.18,0.25,0.07,0.25,0.02,0.11,0.13,0.02,0.13
1,Antoine Semenyo,gh GHA,FW,25-075,28.0,28,2465.0,27.4,7.0,4.0,11.0,7.0,0.0,0.0,9.0,0.0,8.6,8.6,5.1,13.7,112.0,86.0,224.0,0.26,0.15,0.4,0.26,0.4,0.31,0.19,0.5,0.31,0.5
2,Illia Zabarnyi,ua UKR,DF,22-203,27.0,27,2364.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.8,0.8,0.5,1.3,18.0,94.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
3,Lewis Cook,eng ENG,"MF,DF",28-048,28.0,26,2392.0,26.6,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,3.6,4.2,30.0,140.0,41.0,0.04,0.11,0.15,0.04,0.15,0.02,0.14,0.16,0.02,0.16
4,Ryan Christie,sct SCO,MF,30-029,28.0,26,2060.0,22.9,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,1.8,1.8,3.4,5.2,32.0,134.0,42.0,0.09,0.13,0.22,0.09,0.22,0.08,0.15,0.23,0.08,0.23
5,Justin Kluivert,nl NED,"MF,FW",25-322,28.0,24,1936.0,21.5,12.0,6.0,18.0,6.0,6.0,6.0,6.0,0.0,9.9,5.1,4.7,9.9,64.0,88.0,132.0,0.56,0.28,0.84,0.28,0.56,0.46,0.22,0.68,0.24,0.46
6,Kepa Arrizabalaga,es ESP,GK,30-171,22.0,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Evanilson,br BRA,FW,25-168,22.0,19,1544.0,17.2,6.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,7.9,7.1,1.4,8.5,22.0,15.0,72.0,0.35,0.0,0.35,0.35,0.35,0.46,0.08,0.54,0.41,0.49
8,Dean Huijsen,es ESP,DF,19-343,23.0,18,1694.0,18.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.6,1.6,1.1,2.8,26.0,79.0,4.0,0.11,0.0,0.11,0.11,0.11,0.09,0.06,0.15,0.09,0.15
9,Marcus Tavernier,eng ENG,"FW,MF",26-001,22.0,16,1505.0,16.7,3.0,5.0,8.0,3.0,0.0,0.0,5.0,0.0,5.2,5.2,2.8,8.0,36.0,95.0,101.0,0.18,0.3,0.48,0.18,0.48,0.31,0.17,0.48,0.31,0.48
10,Dango Ouattara,bf BFA,FW,23-040,26.0,15,1518.0,16.9,7.0,4.0,11.0,7.0,0.0,0.0,1.0,0.0,7.2,7.2,4.5,11.7,58.0,31.0,154.0,0.42,0.24,0.65,0.42,0.65,0.42,0.27,0.69,0.42,0.69
11,Tyler Adams,us USA,MF,26-037,19.0,13,1245.0,13.8,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.8,1.9,8.0,46.0,6.0,0.0,0.22,0.22,0.0,0.22,0.08,0.06,0.14,0.08,0.14
12,Adam Smith,eng ENG,DF,33-328,17.0,12,1035.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.1,0.7,7.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
13,Marcos Senesi,ar ARG,DF,27-317,11.0,11,917.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.2,1.0,11.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1
14,David Brooks,wls WAL,FW,27-258,22.0,8,736.0,8.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,1.6,3.8,25.0,18.0,65.0,0.24,0.0,0.24,0.24,0.24,0.26,0.2,0.46,0.26,0.46
15,James Hill,eng ENG,DF,23-072,9.0,6,424.0,4.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,2.0,13.0,8.0,0.0,0.21,0.21,0.0,0.21,0.06,0.05,0.11,0.06,0.11
16,Mark Travers,ie IRL,GK,25-309,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Julian Araujo,mx MEX,DF,23-222,8.0,5,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Alex Scott,eng ENG,MF,21-214,12.0,2,380.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,8.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13
19,Enes Ünal,tr TUR,"FW,MF",27-317,17.0,2,345.0,3.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.7,2.7,0.4,3.1,4.0,12.0,22.0,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82
